1/1,1/0,0,67,94/1
2/1,2/67,0,67,94/3,12
3/1,3/134,0,67,94/4
4/1,4/201,0,67,94/4
5/2,1/268,0,67,94/2,8
6/2,2/335,0,67,94/3,12
7/2,3/402,0,67,94/4
8/2,4/469,0,67,94/4
9/3,1/536,0,67,94/1
10/3,2/603,0,67,94/3,12
11/3,3/670,0,67,94/4
12/3,4/737,0,67,94/4
13/4,1/0,94,67,94/2,8
14/4,2/67,94,67,94/3,10
15/4,3/134,94,67,94/4
16/4,4/201,94,67,94/4
17/5,1/268,94,67,94/2
18/5,2/335,94,67,94/3,10
19/5,3/402,94,67,94/4
20/5,4/469,94,67,94/4
21/6,1/536,94,67,94/2
22/6,2/603,94,67,94/3,11
23/6,3/670,94,67,94/4
24/6,4/737,94,67,94/4
25/7,1/0,188,67,94/2
26/7,2/67,188,67,94/3,10
27/7,3/134,188,67,94/4
28/7,4/201,188,67,94/4
29/8,1/268,188,67,94/1
30/8,2/335,188,67,94/2,8
31/8,3/402,188,67,94/4
32/8,4/469,188,67,94/4
33/9,1/536,188,67,94/2,7
34/9,2/603,188,67,94/3,11
35/9,3/670,188,67,94/4
36/9,4/737,188,67,94/4
37/10,1/0,282,67,94/2
38/10,2/67,282,67,94/3,11
39/10,3/134,282,67,94/4
40/10,4/201,282,67,94/4
41/11,1/268,282,67,94/1
42/11,2/335,282,67,94/4,1
43/11,3/402,282,67,94/4
44/11,4/469,282,67,94/4
45/12,1/536,282,67,94/1,9
46/12,2/603,282,67,94/2
47/12,3/670,282,67,94/3
48/12,4/737,282,67,94/4,1
49/13,1/0,376,67,94/4,2
50/13,2/67,376,67,94/4,3
51/14,3/134,376,67,94/0
